date,authorization_mail_failed,offer_failed,supplier_mail_failed,voucher_failed,kiosk_delay,onlineshop_delay,bmp_delay
20-08-2020,1,3,0,0,1,2,4
21-08-2020,0,2,0,0,2,1,2
22-08-2020,0,0,0,0,2,0,1
23-08-2020,0,0,0,0,2,0,0
24-08-2020,1,2,0,0,2,0,0
25-08-2020,0,3,0,0,1,0,0
26-08-2020,0,1,0,0,1,1,1
27-08-2020,0,2,0,1,1,1,2
28-08-2020,0,1,0,0,0,1,2
29-08-2020,0,0,0,0,0,1,3
30-08-2020,0,0,0,0,0,2,0
31-08-2020,1,1,1,2,0,2,2
01-09-2020,0,3,0,9,0,2,2
02-09-2020,0,1,0,0,0,0,2
03-09-2020,0,4,1,1,1,1,1
04-09-2020,0,2,0,0,1,2,1
05-09-2020,0,0,0,0,1,2,1
06-09-2020,0,0,0,0,1,0,0
07-09-2020,0,4,0,0,0,1,0
08-09-2020,3,13,0,0,0,0,0
09-09-2020,0,8,0,1,0,1,2
10-09-2020,1,2,1,0,1,2,1
11-09-2020,0,3,0,0,1,2,2
12-09-2020,0,0,0,0,2,0,1
13-09-2020,0,0,0,0,2,0,0
14-09-2020,0,4,0,1,1,1,0
15-09-2020,0,2,0,0,1,0,1
16-09-2020,0,2,0,0,0,0,0
17-09-2020,0,2,0,0,0,1,1
18-09-2020,0,8,0,4,1,1,1
19-09-2020,0,0,0,0,2,1,2
20-09-2020,0,0,0,0,2,0,3
